Plant_ID,Chamber_Shelf.x,Leaf_ID,Endo_Treatment,Parasite_Treatment,Endo_Cat,Plant_Leaf,Censor,DeathDay
34,Ernie_Top_1,1,Inoculated,CONTROL,InoculatedConfirmed,34 _ 1,0,26
35,Bert_Bottom_2,1,Inoculated,Rhizoctonia,InoculatedConfirmed,35 _ 1,1,12
36,Bert_Bottom_3,1,Inoculated,Colletotrichum,InoculatedFree,36 _ 1,0,26
37,Bert_Bottom_2,1,Inoculated,CR,InoculatedConfirmed,37 _ 1,1,12
38,Bert_Top_2,1,Inoculated,Rhizoctonia,InoculatedFree,38 _ 1,1,17
40,Bert_Top_2,1,Inoculated,Colletotrichum,InoculatedFree,40 _ 1,0,26
41,Ernie_Top_1,1,Inoculated,Colletotrichum,InoculatedConfirmed,41 _ 1,1,26
42,Bert_Bottom_2,1,Inoculated,Colletotrichum,InoculatedConfirmed,42 _ 1,0,26
43,Bert_Bottom_1,1,Inoculated,CR,InoculatedConfirmed,43 _ 1,1,12
44,Ernie_Top_3,1,Inoculated,Rhizoctonia,InoculatedFree,44 _ 1,0,26
45,Bert_Bottom_2,1,Inoculated,Rhizoctonia,InoculatedConfirmed,45 _ 1,1,24
46,Ernie_Bottom_3,1,Inoculated,CR,InoculatedFree,46 _ 1,0,26
47,Bert_Top_1,1,Inoculated,CONTROL,InoculatedFree,47 _ 1,1,26
48,Bert_Top_1,1,Inoculated,Colletotrichum,InoculatedFree,48 _ 1,0,26
49,Ernie_Bottom_2,1,Inoculated,CR,InoculatedConfirmed,49 _ 1,0,26
50,Bert_Bottom_3,1,Inoculated,CR,InoculatedConfirmed,50 _ 1,1,12
51,Bert_Bottom_3,1,Free,CR,FreeFree,51 _ 1,1,17
52,Ernie_Top_3,1,Free,Colletotrichum,FreeFree,52 _ 1,1,26
53,Ernie_Top_3,1,Free,Colletotrichum,FreeFree,53 _ 1,0,26
54,Bert_Bottom_3,1,Free,Rhizoctonia,FreeFree,54 _ 1,1,14
56,Bert_Top_1,1,Free,Colletotrichum,FreeFree,56 _ 1,0,26
57,Ernie_Top_3,1,Free,Rhizoctonia,FreeFree,57 _ 1,1,21
58,Bert_Top_2,1,Free,Colletotrichum,FreeFree,58 _ 1,0,26
59,Bert_Top_2,1,Free,Colletotrichum,FreeFree,59 _ 1,1,24
60,Bert_Bottom_3,1,Free,CR,FreeFree,60 _ 1,1,7
61,Bert_Bottom_2,1,Free,CR,FreeFree,61 _ 1,0,26
62,Bert_Bottom_2,1,Free,CONTROL,FreeFree,62 _ 1,0,26
63,Ernie_Bottom_2,1,Free,CR,FreeFree,63 _ 1,0,26
64,Bert_Bottom_2,1,Free,Rhizoctonia,FreeFree,64 _ 1,1,7
65,Bert_Bottom_1,1,Free,CR,FreeFree,65 _ 1,1,12
66,Bert_Bottom_1,1,Free,Rhizoctonia,FreeFree,66 _ 1,0,26
