plant_ID,leaf_ID,disease_type,chamber_ID,shelf_ID,timing,DAI.len.000,DAI.len.001,DAI.len.002,DAI.len.003,DAI.len.004,DAI.len.005,DAI.len.006,DAI.len.007,DAI.len.008,DAI.len.009,DAI.len.010,DAI.len.011,DAI.len.012,DAI.len.013,DAI.len.014,DAI.len.015,DAI.len.016,DAI.len.017,DAI.len.018,DAI.len.019,DAI.len.020,DAI.len.021,DAI.len.022,DAI.len.023,DAI.len.024,Censor_prethx,Death_prethx,Censor_postthx,Death_postthx
40,B,L,b,t,rs2cc1,0,NA,NA,2,1.6,1.4,1.5,NA,1.4,,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,24,1,34
51,A,L,b,b,rs1cc2,0,1.1,NA,1.1,1.2,1.3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,7
51,B,L,b,b,rs1cc2,0,0.6,NA,0.7,0.7,1.3,1.2,0.9,NA,0.7,0.7,0.7,0.7,NA,NA,0.8,NA,0.8,0.8,NA,0.8,NA,NA,NA,NA,0,24,0,34
52,A,L,e,t,rs1cc2,0,0.4,NA,2,2.1,2.2,2.2,2.1,NA,2.2,1.9,6.3,6.6,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,1,17
52,B,L,e,t,rs1cc2,0,0,NA,1.1,1.2,1.3,1.1,1.2,NA,1.2,1.2,1.3,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,1,15
53,A,L,e,b,rs1cc2,0,1.3,NA,1.6,1.8,1.8,1.9,2,NA,1.9,1.3,1.9,1.9,NA,NA,1.9,NA,1.9,2,NA,1.9,NA,NA,NA,NA,0,24,0,34
53,B,L,e,b,rs1cc2,0,0,NA,2.2,2.3,1.8,2.4,3.2,NA,2.6,2.5,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,1,12
54,A,L,b,t,rs1cc2,0,1.3,NA,2.7,2.8,3.1,3.1,4.4,NA,3.2,4.1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,1,15
54,B,L,b,t,rs1cc2,0,0.6,NA,1.6,1.8,1.9,1.9,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,9
55,A,L,b,b,rs1cc2,0,0.4,NA,1.8,2.2,2.7,2.4,2.6,NA,2.4,2.5,5.9,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,1,15
55,B,L,b,b,rs1cc2,0,0.9,NA,1.7,1.8,1.9,1.9,1.9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,1,11
56,A,L,b,t,rs1cc2,0,0.6,NA,2.1,3.3,3.6,4,3.2,NA,7.1,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,1,11
56,B,L,b,t,rs1cc2,0,1.5,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,4
57,A,L,e,t,rs1cc2,0,1.1,NA,1.3,1.2,1.3,1.3,1.4,NA,1.5,1.2,1.6,1.3,NA,NA,1.5,NA,1.5,1.4,NA,1.4,NA,NA,NA,NA,0,24,0,34
57,B,L,e,t,rs1cc2,0,1,NA,1.6,1.8,1.9,1.6,1.8,NA,1.7,1.6,1.8,2,NA,NA,1.7,NA,1.7,1.8,NA,1.8,NA,NA,NA,NA,0,24,0,34
58,A,L,b,b,rs1cc2,0,0.7,NA,1.1,1.5,1.6,1.3,1.7,NA,1.2,1.7,1.7,1.7,NA,NA,1.5,NA,1.2,1.4,NA,1.4,NA,NA,NA,NA,0,24,0,34
58,B,L,b,b,rs1cc2,0,0.3,NA,0.8,0.8,0.7,0.7,0.9,NA,0.8,0.7,0.8,0.8,NA,NA,0.8,NA,0.8,0.9,NA,0.8,NA,NA,NA,NA,0,24,0,34
59,A,L,b,t,rs1cc2,0,0.1,NA,0.9,1.1,1,1.1,1,NA,1.1,1.1,1.2,1.4,NA,NA,1.1,NA,1.5,1.4,NA,1.4,NA,NA,NA,NA,0,24,1,34
59,B,L,b,t,rs1cc2,0,0.9,NA,1.4,2.6,2.8,2.9,3,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,1,10
60,A,L,e,t,rs1cc2,0,1.1,NA,1.5,1.7,1.6,1.7,1.6,NA,1.2,1.8,1.6,1.7,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,1,17
60,B,L,e,t,rs1cc2,0,1.1,NA,1.4,1.9,1.6,2.3,3.9,NA,5.3,5.9,5.6,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,1,13
